"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000241416",10250.2293568238,-0.716563781965896,0.355962205804078,-2.01303332286994,0.0441111238493331,0.345687174655999
"ENSG00000242841",31987.3483947402,-0.544429605963594,0.270331643427556,-2.01393221696405,0.0440166505222815,0.345687174655999
"ENSG00000182606",2116.31557681419,0.219760297544403,0.109799945828113,2.00146089223421,0.0453427442163729,0.353535305159131
"ENSG00000134107",1429.808474756,0.535745009938887,0.268060968747615,1.99859387378139,0.0456523137745631,0.353602886958879
"ENSG00000144908",21.3668761017247,-1.62819378101614,0.815269691148733,-1.99712291367288,0.0458118323599069,0.353602886958879
"ENSG00000144741",214.397510155583,0.305763631403299,0.153558963791989,1.99118061136104,0.0464610346302132,0.355045518368196
"ENSG00000285906",52.0585018220058,0.635522688141184,0.31912727802625,1.99143956628148,0.0464325830211966,0.355045518368196
"ENSG00000174738",970.629811219331,0.802423661967443,0.404383028059597,1.98431587452573,0.0472206375984198,0.359063858174123
"ENSG00000151090",645.623388628178,-1.50681554769471,0.763394597683483,-1.97383574925358,0.0484004224503791,0.366221915683657
"ENSG00000236459",17280.5312111466,0.45647126958818,0.232402673102664,1.96413949759748,0.0495139168411937,0.372810667980753
"ENSG00000164076",5.01305644315963,1.44934926921639,0.740340724796977,1.95767870207849,0.0502677258872853,0.373001096438986
"ENSG00000244515",6673.13371442759,-1.16042258918243,0.592075096650315,-1.9599246712918,0.0500045955081218,0.373001096438986
"ENSG00000273174",4.07316560227935,-1.58504210638461,0.809106421320365,-1.95900324681395,0.0501124065478377,0.373001096438986
"ENSG00000182899",4353.71573651798,0.315915907095583,0.161643716947639,1.95439645326838,0.0506543498285455,0.374062891041566
"ENSG00000169087",126.811109887145,-0.586769936239357,0.301528500010426,-1.94598499385321,0.0516565422027488,0.379638511116853
"ENSG00000072756",410.950560067195,0.41390498262962,0.213348439062863,1.94004223535782,0.0523745572138786,0.383082475621512
"ENSG00000058063",983.977049452361,0.421447370698197,0.218986795045284,1.92453326060617,0.0542877757980699,0.393616751280431
"ENSG00000134109",975.596919627112,0.380046331437838,0.197506939141205,1.92421761529162,0.0543273120256845,0.393616751280431
"ENSG00000041880",188.340803288746,-0.411410716504647,0.215757431773073,-1.90682060461934,0.0565438222051953,0.407752633367042
"ENSG00000152952",305.05011099619,-1.13209571144369,0.595067590257327,-1.90246575343506,0.057110291921492,0.409913123324353
"ENSG00000265078",38.9794429716123,1.59393999208865,0.839292601931886,1.89914695830716,0.0575451564387836,0.411113303674287
"ENSG00000082781",1024.04355366469,-0.39733223349472,0.2104352179158,-1.88814513763425,0.0590064686196342,0.41960155462851
"ENSG00000168032",17.8410636144444,2.20199222354207,1.1689539208656,1.88372884870562,0.059601662122452,0.420951582703395
"ENSG00000197548",158.236569602224,-0.290298993114635,0.154525467996233,-1.87864820523767,0.0602925443976217,0.420951582703395
"ENSG00000241634",11.8981129992394,-0.914910771320351,0.486552503796591,-1.88039474503011,0.0600542992133056,0.420951582703395
"ENSG00000279891",2.04328111070497,-2.19407195784184,1.1675902564803,-1.8791454841837,0.0602246310138513,0.420951582703395
"ENSG00000013297",1.56153899319891,-2.50567897254298,1.34132127498314,-1.86806771746349,0.0617526326133814,0.427261458081774
"ENSG00000280173",39.9464536140999,0.700847792963519,0.37500521227837,1.86890147127681,0.0616365235964697,0.427261458081774
"ENSG00000180370",1674.3734015122,-0.282429944485449,0.15161009491557,-1.8628703098084,0.062480514921639,0.430359062419899
"ENSG00000174579",769.817025480524,0.467102190038987,0.251579428911546,1.85667879150492,0.0633568666300107,0.43251620952754
"ENSG00000270207",3.95593980684088,-2.90753995732054,1.56580919058356,-1.85689289270101,0.0633263939482439,0.43251620952754
"ENSG00000161267",1048.0480870491,-0.684937274996927,0.369335869857982,-1.85451057125944,0.0636661491804489,0.432704447527299
"ENSG00000114248",163.164451698653,1.28509343052803,0.694080614583716,1.85150457097664,0.0640969977573614,0.433713605970516
"ENSG00000017260",1077.17255006435,-0.259919633632396,0.14170940320254,-1.8341735111318,0.0666282421249684,0.437522746397587
"ENSG00000068885",85.0100999177351,-0.667306165194299,0.362958139921956,-1.83852100778835,0.0659856691667165,0.437522746397587
